S/N,Category,Question type,Difficulty level,Question
232,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,"Compare arbitrage net revenues (i.e excluding charging cost and other operational costs) only for a 100 MW 2-hour battery based on 2023 day-ahead market prices in ERCOT West Hub vs PJM AEP Hub. Assume roundtrip efficiency is 81%, battery degradation cost is $25/MWh and state of charge is limited to a range of 10% to 90%"
233,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis without sources,Hard,Compare potential real-time revenues for a 100 MW solar PV farm in Abilene Texas (with ERCOT West Hub prices) vs Houston (ERCOT Houston Hub) based on 2023 data. Assume the solar farms have double-axis tracking panels and no curtailments associated with the farms. You can assume overall system loss for the farms stands at 10%
234,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"Compare unlevered project IRR for a potential 100 MW 4-hour standalone battery project in ERCOT West vs PJM AEP Hub with a 15-year lifespan. Assume day-ahead revenues based on 2023 prices, roundtrip efficiency is 81%, battery degradation cost is $25/MWh and state of charge is limited to a range of 10% to 90%, capex is $2200/kW. Include relevant federal tax assumption and assume batteries still get 30% ITC. Ignore all other types of taxes"
235,Advanced quantitative modeling and decision analytics,Model development with data retrieval and analysis with sources,Hard,"Build a battery optimization model that estimates annual revenue based on energy arbitrage only and test it with 2023 real-tim prices for ERCOT West Hub and a 100 MW 2-hour battery. Your model should at the very least include assumptions about round trp efficiency, state of charge limits, and degradation cost"
236,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"If a theoretical 1 MW CCGT located in Houston with a 6500 Btu/kWh heat rate and gas price purchase at Henry Hub prices is completely out for maintenance in April and October but available at other times and only runs when it is economical to do so (i.e. market prices are greater than marginal fuel cost), how much would it have made in ERCOT's day-ahead market assuming 2024 prices vs 2023 prices?"
237,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Medium,"Compare day-ahead market price volatility across the PJM AEP, ERCOT West and ISONE Connecticut load zones in 2023"
238,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Hard,"Based on 2024 real time prices in NYISO's zone J, what period of the day do loss LMP components tend to be more significant and why?"
239,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"Assuming ERCOT solar PPA prices including RECs were $28/MWh, $40/MWh, $45/MWh and $46/MWh from 2021 to 2024, how would merchant revenues for solar assets in ERCOT west compare with these PPA revenues with REC-only prices at $2.5/MWh? Asuume there is no curtailment and solar production is consistnet with overall ERCOT solar production profile"
240,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"If I had a wind asset in ERCOT West and a solar asset with the same capacity in CAISO SP15 zone in 2024, which one would make me the most merchant revenue assuming real time market prices only and no curtailment in both regions "
241,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Medium,Which ISO in the US has had the highest percentage change in congestion costs from 2017 to 2024 and why?
242,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Hard,What ERCOT region had the highest concentration of batteries with normalized revenues in the top quartile based on 2024 data? How does this compare with 2021 to 2023?
243,Advanced quantitative modeling and decision analytics,Data retrieval and analysis with sources,Hard,In which month of the year do batteries in ERCOT typically have the largest variation in normalized daily day-ahead revenue based on 2021 - 2024 data? 
244,Advanced quantitative modeling and decision analytics,Advanced modeling with data retrieval and analysis with sources,Hard,"How should I have dispatch a CT in Houston with Henry Hub gas prices during summer months to maximize revenue assuming it has an heat rate of 10,000 Btu/Kwh and is exposed to 2024 real time prices at ERCOT Houston Hub?"
245,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,"If a 4-hour battery earns revenues from arbitrage only in ERCOT West hub over 15 years, what should the $/MW capex be to earn 13% IRR? Assume roundtrip efficiency is 81%, battery degradation cost is $25/MWh and state of charge is limited to a range of 10% to 90%, prices from 2010 to 2024 represent the 15-year window"
246,Advanced quantitative modeling and decision analytics,Advanced quantitative modeling and decision analytics,Hard,In which month of the year is a wind plant in ERCOT West most likely to make the highest revenue based on 2010 to 2024 data?
247,Advanced quantitative modeling and decision analytics,Forecasting plus data retrieval and analysis,Hard,"Using regression methods or any time series forecasting approach of your choice, build a forecast model that can predict hourly demand in NYISO zone J. Assume the model is going to be run at the beginning of every month to get the forecasted hourly demand for the month. Use data from December 2025 as your test set and feel free to use any demand data duration based on the contents of your NYISO database for training. You can also use any external variables that you find relevant as long as you are able to get the data. Do not use variables for which you are unable to get the data. Your output should include the following:

Summary of modeling steps:
Model type:
Model parameters:
Accuracy metric (MAPE)"
248,Advanced quantitative modeling and decision analytics,Forecasting plus data retrieval and analysis,Hard,"Using regression methods or any time series forecasting approach of your choice, build a forecast model that can predict day-ahead hourly prices in NYISO zone J. Assume the model is going to be run at the beginning of every week to get the day-ahead market prices forecasts for week. Use data from December 21 - 27, 2025 as your test set and feel free to use any data duration based on the contents of your NYISO database for training. You can also use any external variables that you find relevant as long as you are able to get the data. Do not use variables for which you are unable to get the data. Your output should include the following:

Summary of modeling steps:
Model type:
Model parameters:
Accuracy metric (MAPE)"
249,Advanced quantitative modeling and decision analytics,Forecasting plus data retrieval and analysis,Hard,"Using regression methods or any time series forecasting approach of your choice, build a forecast model that can predict hourly demand in ERCOT. Assume the model is going to be run at the beginning of every month to get the forecasted hourly demand for the month. Use data from December 2025 as your test set and feel free to use any demand data duration based on the contents of your ERCOT database for training. You can also use any external variables that you find relevant as long as you are able to get the data. Do not use variables for which you are unable to get the data. Your output should include the following:

Summary of modeling steps:
Model type:
Model parameters:
Accuracy metric (MAPE)"
250,Advanced quantitative modeling and decision analytics,Forecasting plus data retrieval and analysis,Hard,"Using regression methods or any time series forecasting approach of your choice, build a forecast model that can predict day-ahead hourly prices in ERCOT Houston Hub. Assume the model is going to be run at the beginning of every week to get the day-ahead market prices forecasts for week. Use data from December 21 - 27, 2025 as your test set and feel free to use any data duration based on the contents of your ERCOT database for training. You can also use any external variables that you find relevant as long as you are able to get the data. Do not use variables for which you are unable to get the data. Your output should include the following:

Summary of modeling steps:
Model type:
Model parameters:
Accuracy metric (MAPE)"
